variableStep chrom=chr10 span=1000000
1	45.6
1000001	45.9
2000001	40.4
3000001	44.4
4000001	39
5000001	43.2
6000001	43.9
7000001	42.6
8000001	40.2
9000001	36.1
10000001	38.8
11000001	43.9
12000001	44.8
13000001	44.2
14000001	42.6
15000001	42.1
16000001	39.9
17000001	40
18000001	40.2
19000001	36.5
20000001	37.9
21000001	41
22000001	39.7
23000001	40.6
24000001	40.4
25000001	39.2
26000001	40
27000001	39.9
28000001	39.7
29000001	42.7
30000001	43.4
31000001	40.5
32000001	40.2
33000001	40.4
34000001	40.5
35000001	43.2
36000001	39.1
37000001	38.8
38000001	40.6
39000001	0
40000001	0
41000001	37.9
42000001	43.3
43000001	45.2
44000001	43
45000001	41.9
46000001	42.1
47000001	44.3
48000001	42.9
49000001	44.5
50000001	43.5
51000001	40.5
52000001	37.8
53000001	36.6
54000001	36.7
55000001	35.2
56000001	34.3
57000001	34.7
58000001	35.1
59000001	37.3
60000001	38.3
61000001	39.1
62000001	37.8
63000001	38.5
64000001	40.2
65000001	38.7
66000001	35.2
67000001	35.5
68000001	36.3
69000001	40.8
70000001	44.6
71000001	47.9
72000001	49.3
73000001	47.7
74000001	40.2
75000001	42
76000001	43.3
77000001	40.9
78000001	42
79000001	46.9
80000001	50
81000001	42.2
82000001	41.4
83000001	36.7
84000001	37.4
85000001	39.4
86000001	40
87000001	42
88000001	44.9
89000001	39.3
90000001	37.6
91000001	39.1
92000001	38.9
93000001	39.6
94000001	41.6
95000001	42.1
96000001	39.1
97000001	41.5
98000001	44.2
99000001	46.8
100000001	40.5
101000001	42.7
102000001	47.9
103000001	45.1
104000001	45.8
105000001	46.1
106000001	41.8
107000001	37.7
108000001	39.1
109000001	37
110000001	37.6
111000001	40.4
112000001	42.2
113000001	40.4
114000001	42.3
115000001	42.3
116000001	41.4
117000001	37.9
118000001	42.4
119000001	42.2
120000001	43.5
121000001	44.8
122000001	41.9
123000001	44.5
124000001	43.9
125000001	46.6
126000001	48.2
127000001	42.7
128000001	43.5
129000001	44.5
130000001	43.8
131000001	46.3
132000001	47.2
133000001	50.4
134000001	56.5
